01.有一只熊走过来　　　　　　　　　　有备而来（有BEAR来） 
02.第十一本书　　　　　　　　　　　　不可思议（BOOK11） 
03.哪一种蝙蝠不用休息　　　　　　 不修边幅（不休蝙蝠） 
04.一个人被刷成金色　　　　　　　 一鸣惊人（一名金人） 
05.羊停止了呼吸　　　　　　　　　　　扬眉吐气（羊没吐气） 
06.手机不可以掉到马桶里　　　　 机不可失（湿） 
07.小玉对小明说她爸爸性无能　 欲罢不能（玉爸不能） 
08.狗过了独木桥就不叫了　　　　 过目不忘（过木不汪） 
09.蜜蜂停在日历上　　　　　　　　　　风和日丽（蜂和日历） 
10.两个男人坐在石头上　　　　　 一石二鸟 
11.一群女人在聊天　　　　　　　　　 无稽之谈（无鸡之谈） 
12.一群人拿鸡蛋砸枪　　　　　　　 枪林弹雨（枪淋蛋雨） 
13.画家喜欢画粗的绳子不喜欢画细的绳子　　　　　　出神入化（粗绳入画） 
14.搬建中的钢琴　　　　　　　　　　 一见钟情（移建中琴） 
15.拿筷子吃饭　　　　　　　　　　　　脍炙人口（筷至人口） 
17.一百零一了　　　　　　　　　　　　　一了百了 
18.有十只羊，九只蹲在羊圈，一只蹲在猪圈　　　　抑扬顿挫（一羊蹲错） 
19.羊打电话给老鹰，老鹰接起电话说 "喂"　　　　 阳奉阴违（羊PHONE鹰" 喂"） 
20.帽子脏了要翻面再戴　　　　 　张冠李戴（脏冠里戴） 
21.十个男人看五个女人洗澡　 五光十色 
