日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
-
20090812,090505,30.200891,120.216721,26.0,1,6,11.3,356.7,3.7
20090812,090506,30.200970,120.216629,20.5,1,6,11.6,357.9,3.7
20090812,090507,30.201008,120.216614,16.5,1,6,11.4,355.5,3.7
20090812,090507,30.201035,120.216606,14.5,1,6,11.3,356.3,3.7
20090812,090508,30.201073,120.216606,14.5,1,6,11.3,355.6,4.7
20090812,090509,30.201120,120.216591,16.0,1,6,10.6,353.7,3.7
20090812,090510,30.201271,120.216507,41.5,1,4,10.6,357.4,4.2
20090812,090511,30.201330,120.216454,47.5,1,5,11.0,357.7,3.6
20090812,090513,30.201372,120.216446,48.0,1,6,10.9,357.6,3.1
20090812,090514,30.201410,120.216431,47.0,1,5,11.4,354.4,3.6
20090812,090515,30.201443,120.216423,46.5,1,6,10.8,354.0,3.1
20090812,090516,30.201475,120.216415,45.5,1,5,11.1,351.6,3.6
20090812,090517,30.201504,120.216415,45.5,1,5,10.5,348.9,3.5
20090812,090518,30.201536,120.216423,45.0,1,6,11.9,2.8,3.1
20090812,090519,30.201557,120.216423,44.5,1,5,8.2,3.6,3.9
20090812,090520,30.201586,120.216423,43.5,1,5,10.4,1.9,3.9
20090812,090521,30.201616,120.216423,43.0,1,5,11.0,1.1,3.4
20090812,090522,30.201645,120.216415,42.5,1,5,11.7,357.4,3.4
20090812,090523,30.201675,120.216423,42.0,1,4,12.0,8.3,4.3
20090812,090524,30.201706,120.216423,41.5,1,4,12.2,1.4,4.3
20090812,090525,30.201733,120.216415,41.0,1,4,11.2,354.1,5.0
-
20090812,090526,30.201763,120.216408,40.5,1,5,11.6,349.8,3.5
20090812,090527,30.201794,120.216423,39.5,1,4,12.1,22.5,4.3
20090812,090528,30.201832,120.216438,36.5,1,6,10.5,17.0,3.1
20090812,090529,30.201862,120.216438,35.5,1,4,11.2,3.1,4.3
20090812,090530,30.201895,120.216438,35.0,1,5,11.9,356.3,3.6
20090812,090531,30.201923,120.216438,34.0,1,5,11.5,351.5,3.6
20090812,090532,30.201956,120.216431,33.0,1,5,11.9,349.9,4.5
20090812,090533,30.201992,120.216431,31.5,1,6,13.7,342.3,3.1
20090812,090534,30.202026,120.216423,30.5,1,5,11.8,350.0,4.0
20090812,090535,30.202061,120.216423,29.0,1,6,12.3,349.1,3.1
20090812,090536,30.202089,120.216431,28.5,1,6,9.9,21.6,3.1
20090812,090537,30.202118,120.216423,28.5,1,4,11.3,350.4,4.3
20090812,090538,30.202152,120.216423,26.5,1,5,10.8,353.9,4.0
20090812,090539,30.202185,120.216415,25.0,1,5,10.8,344.6,3.6
20090812,090540,30.202215,120.216408,24.0,1,6,10.4,345.2,3.1
20090812,090541,30.202242,120.216393,23.0,1,5,10.2,339.2,4.0
20090812,090542,30.202269,120.216385,22.0,1,5,9.6,342.5,4.0
20090812,090543,30.202293,120.216377,21.5,1,5,9.3,344.5,3.6
20090812,090544,30.202320,120.216370,20.5,1,6,10.2,343.9,3.1
20090812,090545,30.202341,120.216377,22.0,1,6,9.9,27.8,3.1
-
20090812,180839,30.211462,120.205215,32.5,1,6,6.7,148.5,1.8
20090812,180840,30.211435,120.205223,37.5,1,6,6.7,149.1,1.8
20090812,180841,30.211412,120.205215,34.0,1,6,6.8,151.7,1.8
20090812,180841,30.211411,120.205231,31.5,1,5,7.4,150.2,2.2
20090812,180842,30.211393,120.205246,31.5,1,5,7.8,152.5,2.2
20090812,180844,30.211378,120.205261,31.0,1,5,8.6,142.9,2.2
20090812,180845,30.211363,120.205284,30.5,1,5,8.7,135.8,2.2
20090812,180846,30.211353,120.205299,29.5,1,5,7.8,120.5,2.2
20090812,180847,30.211359,120.205315,26.5,1,6,5.0,62.8,2.1
20090812,180848,30.211357,120.205307,26.0,1,6,2.9,295.9,1.8
20090812,180849,30.211357,120.205307,26.5,1,7,0.5,121.8,1.7
20090812,180850,30.211359,120.205307,26.0,1,7,0.9,277.0,1.7
20090812,180851,30.211359,120.205307,26.0,1,7,0.5,293.6,1.7
20090812,180852,30.211355,120.205307,26.5,1,5,1.0,215.6,2.5
20090812,180853,30.211357,120.205315,26.5,1,6,0.1,218.6,3.7
20090812,180854,30.211355,120.205307,27.0,1,5,0.3,345.7,2.5
20090812,180855,30.211359,120.205315,27.5,1,6,0.8,328.5,2.3
20090812,180856,30.211367,120.205315,27.0,1,7,1.2,4.1,1.7
-
20090812,180857,30.211367,120.205315,27.0,1,5,0.1,205.3,2.5
20090812,180858,30.211361,120.205315,27.5,1,6,1.8,148.5,2.3
20090812,180859,30.211361,120.205315,28.0,1,5,0.6,182.3,2.5
20090812,180900,30.211361,120.205315,28.0,1,6,0.3,264.7,2.3
20090812,180901,30.211367,120.205315,27.5,1,7,0.2,266.9,2.1
20090812,180902,30.211369,120.205315,27.5,1,6,0.1,174.7,2.3
20090812,180903,30.211372,120.205315,28.0,1,6,0.2,159.1,2.3
20090812,180904,30.211372,120.205315,27.5,1,7,0.3,142.9,1.7
20090812,180905,30.211374,120.205315,27.5,1,6,0.2,283.8,1.8
20090812,180906,30.211374,120.205315,27.0,1,7,0.3,247.9,1.7
20090812,180907,30.211376,120.205315,26.5,1,6,0.3,189.2,1.8
20090812,180908,30.211376,120.205307,26.5,1,6,0.3,183.5,1.8
20090812,180909,30.211378,120.205307,26.0,1,6,0.3,191.1,1.8
20090812,180910,30.211378,120.205307,26.0,1,4,0.3,254.4,4.0
20090812,180911,30.211378,120.205307,25.5,1,5,0.1,123.1,2.1
-
20090812,180912,30.211376,120.205299,24.5,1,6,1.2,163.2,2.1
20090812,180913,30.211374,120.205299,24.0,1,6,0.2,194.8,2.1
20090812,180914,30.211372,120.205299,24.0,1,6,0.1,320.0,2.1
20090812,180915,30.211372,120.205299,24.0,1,6,0.3,264.2,2.1
20090812,180916,30.211370,120.205299,24.0,1,7,0.1,207.5,1.7
20090812,180917,30.211370,120.205299,24.0,1,7,0.1,210.6,1.7
20090812,180918,30.211370,120.205299,24.5,1,7,0.2,217.3,1.7
20090812,180919,30.211369,120.205299,24.5,1,6,0.1,233.1,1.9
20090812,180920,30.211367,120.205299,25.0,1,5,0.2,191.0,2.2
