日期(YYYYMMDD),時間(HHMMSS),緯度(度),經度(度),高度(M),衛星等級,衛星數,速度(Knots),方向,平均精度(PDOP)
-
20090812,090505,30.200891,120.216721,26.0,1,6,11.3,356.7,3.7
20090812,090506,30.200970,120.216629,20.5,1,6,11.6,357.9,3.7
20090812,090507,30.201008,120.216614,16.5,1,6,11.4,355.5,3.7
20090812,090507,30.201035,120.216606,14.5,1,6,11.3,356.3,3.7
20090812,090508,30.201073,120.216606,14.5,1,6,11.3,355.6,4.7
20090812,090509,30.201120,120.216591,16.0,1,6,10.6,353.7,3.7
20090812,090510,30.201271,120.216507,41.5,1,4,10.6,357.4,4.2
20090812,090511,30.201330,120.216454,47.5,1,5,11.0,357.7,3.6
20090812,090513,30.201372,120.216446,48.0,1,6,10.9,357.6,3.1
20090812,090514,30.201410,120.216431,47.0,1,5,11.4,354.4,3.6
20090812,090515,30.201443,120.216423,46.5,1,6,10.8,354.0,3.1
20090812,090516,30.201475,120.216415,45.5,1,5,11.1,351.6,3.6
20090812,090517,30.201504,120.216415,45.5,1,5,10.5,348.9,3.5
20090812,090518,30.201536,120.216423,45.0,1,6,11.9,2.8,3.1
20090812,090519,30.201557,120.216423,44.5,1,5,8.2,3.6,3.9
20090812,090520,30.201586,120.216423,43.5,1,5,10.4,1.9,3.9
20090812,090521,30.201616,120.216423,43.0,1,5,11.0,1.1,3.4
20090812,090522,30.201645,120.216415,42.5,1,5,11.7,357.4,3.4
20090812,090523,30.201675,120.216423,42.0,1,4,12.0,8.3,4.3
20090812,090524,30.201706,120.216423,41.5,1,4,12.2,1.4,4.3
20090812,090525,30.201733,120.216415,41.0,1,4,11.2,354.1,5.0
20090812,090526,30.201763,120.216408,40.5,1,5,11.6,349.8,3.5
20090812,090527,30.201794,120.216423,39.5,1,4,12.1,22.5,4.3
20090812,090528,30.201832,120.216438,36.5,1,6,10.5,17.0,3.1
20090812,090529,30.201862,120.216438,35.5,1,4,11.2,3.1,4.3
20090812,090530,30.201895,120.216438,35.0,1,5,11.9,356.3,3.6
20090812,090531,30.201923,120.216438,34.0,1,5,11.5,351.5,3.6
20090812,090532,30.201956,120.216431,33.0,1,5,11.9,349.9,4.5
20090812,090533,30.201992,120.216431,31.5,1,6,13.7,342.3,3.1
20090812,090534,30.202026,120.216423,30.5,1,5,11.8,350.0,4.0
20090812,090535,30.202061,120.216423,29.0,1,6,12.3,349.1,3.1
20090812,090536,30.202089,120.216431,28.5,1,6,9.9,21.6,3.1
20090812,090537,30.202118,120.216423,28.5,1,4,11.3,350.4,4.3
20090812,090538,30.202152,120.216423,26.5,1,5,10.8,353.9,4.0
20090812,090539,30.202185,120.216415,25.0,1,5,10.8,344.6,3.6
20090812,090540,30.202215,120.216408,24.0,1,6,10.4,345.2,3.1
20090812,090541,30.202242,120.216393,23.0,1,5,10.2,339.2,4.0
20090812,090542,30.202269,120.216385,22.0,1,5,9.6,342.5,4.0
20090812,090543,30.202293,120.216377,21.5,1,5,9.3,344.5,3.6
20090812,090544,30.202320,120.216370,20.5,1,6,10.2,343.9,3.1
20090812,090545,30.202341,120.216377,22.0,1,6,9.9,27.8,3.1
20090812,090546,30.202370,120.216370,21.5,1,6,10.6,348.8,3.1
20090812,090547,30.202398,120.216362,20.5,1,6,11.1,353.7,3.1
20090812,090548,30.202427,120.216362,20.5,1,6,11.0,3.0,3.1
20090812,090549,30.202456,120.216354,20.5,1,6,11.2,359.7,3.1
20090812,090550,30.202488,120.216347,20.0,1,6,11.7,355.4,3.1
20090812,090551,30.202518,120.216339,20.0,1,6,10.9,1.6,3.1
20090812,090552,30.202545,120.216331,20.0,1,6,10.2,358.6,3.1
20090812,090553,30.202568,120.216324,20.0,1,6,8.9,6.5,3.1
20090812,090554,30.202595,120.216324,19.5,1,5,9.9,359.7,3.6
20090812,090555,30.202620,120.216309,19.5,1,5,10.3,346.2,4.5
20090812,090556,30.202644,120.216316,19.5,1,6,10.1,7.9,3.1
20090812,090557,30.202669,120.216324,20.5,1,6,9.8,14.4,3.1
20090812,090558,30.202694,120.216324,21.0,1,6,10.0,4.3,3.1
20090812,090559,30.202721,120.216316,20.5,1,6,10.4,354.0,3.1
20090812,090600,30.202747,120.216316,20.5,1,6,10.7,356.9,3.1
20090812,090601,30.202776,120.216309,20.5,1,6,11.0,353.6,3.1
20090812,090602,30.202805,120.216309,20.5,1,6,11.1,359.0,3.1
20090812,090603,30.202833,120.216301,20.0,1,6,11.8,350.9,3.1
20090812,090604,30.202862,120.216301,19.0,1,6,11.4,353.5,3.1
20090812,090605,30.202892,120.216293,18.5,1,6,11.5,354.9,3.1
20090812,090606,30.202919,120.216293,18.0,1,6,10.9,4.0,3.1
20090812,090607,30.202948,120.216293,18.5,1,6,10.7,8.6,3.1
20090812,090608,30.202976,120.216293,18.5,1,6,11.1,2.6,3.1
20090812,090609,30.203005,120.216293,18.5,1,6,10.8,0.2,3.1
20090812,090610,30.203035,120.216286,18.0,1,7,11.2,355.2,3.1
20090812,090611,30.203066,120.216278,17.5,1,6,11.5,352.7,3.1
20090812,090612,30.203094,120.216286,18.0,1,7,11.0,5.7,3.1
20090812,090613,30.203125,120.216278,18.5,1,7,11.3,354.3,3.1
20090812,090614,30.203152,120.216270,18.0,1,7,10.9,352.4,3.1
20090812,090615,30.203175,120.216270,19.0,1,7,8.4,1.1,3.1
20090812,090616,30.203199,120.216270,19.5,1,7,8.9,0.1,3.1
20090812,090617,30.203224,120.216255,19.0,1,7,9.7,348.9,3.1
20090812,090618,30.203247,120.216255,19.0,1,7,9.1,358.9,3.1
20090812,090619,30.203272,120.216255,19.5,1,7,9.2,356.7,3.1
20090812,090620,30.203291,120.216255,19.5,1,7,7.6,356.8,3.1
20090812,090621,30.203312,120.216248,19.5,1,7,7.9,343.0,3.1
20090812,090622,30.203331,120.216240,19.5,1,7,7.9,345.1,3.1
20090812,090623,30.203350,120.216248,20.5,1,7,7.0,10.7,3.1
20090812,090624,30.203367,120.216255,22.5,1,6,7.3,19.1,4.1
20090812,090625,30.203386,120.216248,23.5,1,6,7.5,349.4,4.1
20090812,090626,30.203400,120.216248,23.5,1,6,5.2,2.1,3.1
20090812,090627,30.203407,120.216248,24.0,1,6,2.4,359.7,3.1
20090812,090628,30.203409,120.216248,24.5,1,6,0.9,42.4,3.1
20090812,090629,30.203413,120.216248,25.0,1,6,0.9,358.8,3.1
20090812,090630,30.203415,120.216248,25.5,1,6,1.0,358.9,3.1
20090812,090631,30.203415,120.216248,25.0,1,6,0.3,32.6,3.1
