达成线列车时刻表 
车次	类型	始发站	始发时间	查询站	出发时间	终点站	终点时间	历时
5627	空调普快	达州	22:31	遂宁	03:04	成都	05:51	0天7时20分
5628	空调普快	成都	23:10	遂宁	01:30	达州	06:05	0天6时55分
5629	空调普快	南充	08:56	遂宁	10:05	成都	13:38	0天4时42分
5629	空调普快	南充	08:56	遂宁西	10:22	成都	13:38	0天4时42分
5630	空调普快	成都	14:39	遂宁西	17:49	南充	19:23	0天4时44分
5630	空调普快	成都	14:39	遂宁	18:01	南充	19:23	0天4时44分
5633	空调普快	达州	12:39	遂宁	16:23	成都	19:05	0天6时26分
5634	空调普快	成都	20:08	遂宁	22:40	南充	23:41	0天3时33分
5637	空调普快	南充	07:31	遂宁	08:29	成都	11:12	0天3时41分
5638	空调普快	成都	06:50	遂宁	10:01	南充	11:14	0天4时24分
5641	空调普快	达州	07:25	遂宁	11:23	成都	15:05	0天7时40分
5642	空调普快	成都	12:30	遂宁	15:04	达州	19:56	0天7时26分
5647	空调普快	南充	17:42	遂宁	18:51	成都	21:51	0天4时09分
5648	空调普快	成都	16:30	遂宁	19:47	南充	20:58	0天4时28分
K351/K354	空调快速	上海	15:38	遂宁	05:49	成都	08:13	1天16时35分
K352/K353	空调快速	成都	18:38	遂宁	21:19	上海	12:06	1天17时28分
N859	空调快速	南充	13:18	遂宁	14:11	成都	17:10	0天3时52分
N860	空调快速	成都	09:08	遂宁	11:55	南充	12:52	0天3时44分
N867	空调快速	达州	21:59	遂宁	02:12	成都	05:00	0天7时01分
N868	空调快速	成都	13:25	遂宁	15:40	达州	20:59	0天7时34分
N869	空调快速	达州	16:11	遂宁	19:53	成都	22:35	0天6时24分
N870	空调快速	成都	07:58	遂宁	10:39	达州	14:57	0天6时59分
T125/T128	空调特快	东莞东	21:58	遂宁	05:07	成都	07:26	1天9时28分
T126/T127	空调特快	成都	21:35	遂宁	23:42	东莞东	06:44	1天9时09分
T245/T248	空调特快	成都	15:07	遂宁	17:14	武昌	08:02	0天16时55分
T246/T247	空调特快	武昌	17:31	遂宁	07:52	成都	10:01	0天16时30分
