K245/K248次	空调快速列车	扬州—成都	全程2266公里	历时1天13小时37分钟
站次	车站名	到达时间	发车时间	日期	行程
1	扬州	-	19:08	当日	0
2	泰州	19:53	20:06	当日	64
3	东台	21:25	21:29	当日	158
4	盐城	22:14	22:19	当日	221
5	淮安	23:51	23:57	当日	335
6	沭阳	00:56	01:06	第2日	403
7	新沂	02:26	02:40	第2日	455
8	徐州	04:00	04:38	第2日	564
9	商丘	06:20	06:26	第2日	710
10	郑州	08:52	09:08	第2日	913
11	洛阳	10:54	11:00	第2日	1037
12	三门峡	12:33	12:36	第2日	1159
13	西安	16:16	16:24	第2日	1424
14	宝鸡	18:20	18:31	第2日	1597
15	略阳	23:39	23:56	第2日	1812
16	广元	03:02	03:08	第3日	1947
17	江油	05:47	05:53	第3日	2109
18	绵阳	06:29	06:34	第3日	2151
19	德阳	07:22	07:26	第3日	2205
20	成都	08:45	-	第3日	2266
