T128/T125次	空调特快列车	东莞东—成都	全程2628公里	历时1天9小时28分钟
站次	车站名	到达时间	发车时间	日期	行驶公里数
1	东莞东	-	21:58	当日	0
2	惠州	22:36	22:40	当日	54
3	龙川	00:23	00:31	第2日	209
4	赣州	03:05	03:11	第2日	450
5	吉安	05:05	05:06	第2日	636
6	南昌	07:17	07:25	第2日	862
7	庐山	08:43	08:52	第2日	978
8	武昌	12:53	13:01	第2日	1253
9	随州	15:07	15:09	第2日	1448
10	襄樊	16:24	16:32	第2日	1587
11	六里坪	18:16	18:22	第2日	1733
12	十堰	18:42	18:46	第2日	1753
13	安康	21:25	21:35	第2日	1955
14	万源	23:55	23:59	第2日	2106
15	达州	01:38	01:48	第3日	2231
16	营山	03:20	03:22	第3日	2332
17	南充	04:08	04:16	第3日	2390
18	遂宁	05:07	05:09	第3日	2457
19	成都	07:26	-	第3日	2628
