2006年成都航班出港时刻表						
航班号 	航空公司 	起飞时间 	目的机场 	到达时间 	班期 	机型 
mf8420	厦门航空公司	20:15	厦门高崎机场	23:25	1....6.	757
3u8807	四川航空公司	19:10	西宁曹家堡机场	20:30	..3..67	erj
3u8807	四川航空公司	19:10	西宁曹家堡机场	20:30	12.....	erj
ca4211	中国国际航空公司	8:25	西宁曹家堡机场	11:40	.2.4.6.	319
hu7576	海南航空公司	10:35	西宁曹家堡机场	12:05	1234567	d38
hu7578	海南航空公司	15:05	西宁曹家堡机场	16:30	1234567	d38
3u8813	四川航空公司	11:55	徐州观音机场	14:10	1.3.5.7	erj
3u8711	四川航空公司	12:10	宜昌三峡机场	13:20	1234567	erj
ca4377	中国国际航空公司	10:50	湛江机场	13:45	.2.....	736
mu2364	中国东方航空公司	12:50	珠海三灶机场	16:00	.2.....	146
mu2364	中国东方航空公司	17:20	珠海三灶机场	20:35	...4..7	146
3u8601	四川航空公司	14:30	万州梁平机场	15:20	.2.4.6.	erj
3u8601	四川航空公司	14:30	万州梁平机场	15:20	1......	erj
3u8601	四川航空公司	16:20	万州梁平机场	17:10	..3.5.7	erj
3u8641	四川航空公司	8:35	西昌青山机场	9:25	1234567	erj
3u8643	四川航空公司	11:25	西昌青山机场	12:20	1234567	erj
3u8645	四川航空公司	16:05	西昌青山机场	16:55	123.567	erj
3u8645	四川航空公司	16:05	西昌青山机场	16:55	1234567	erj
3u8647	四川航空公司	19:10	西昌青山机场	22:10	..3.5.7	erj
3u8647	四川航空公司	21:00	西昌青山机场	22:00	...4...	erj
ca4467	中国国际航空公司	19:55	西昌青山机场	20:50	.23..6.	319
ca4467	中国国际航空公司	20:50	西昌青山机场	21:45	1..45.7	jet
3u8801	四川航空公司	8:15	西安咸阳机场	9:15	123.567	erj
3u8803	四川航空公司	14:50	西安咸阳机场	15:55	1234567	320
ca1422	中国国际航空公司	12:40	西安咸阳机场	14:10	...4.6.	733
ca4211	中国国际航空公司	8:25	西安咸阳机场	9:40	.2.4.6.	319
hu7856	海南航空公司	16:10	西安咸阳机场	17:15	1234567	738
mu2342	中国东方航空公司	9:45	西安咸阳机场	11:00	1234567	320
mu2344	中国东方航空公司	14:05	西安咸阳机场	15:00	1.3.5.7	320
ca4539	中国国际航空公司	7:45	厦门高崎机场	11:20	.2...6.	733
ca4585	中国国际航空公司	7:45	厦门高崎机场	11:10	....5..	733
ca4585	中国国际航空公司	7:45	厦门高崎机场	11:10	1.34..7	jet
mf8402	厦门航空公司	11:55	厦门高崎机场	15:20	..3....	757
mf8402	厦门航空公司	11:55	厦门高崎机场	15:20	.23.5.7	757
mf8402	厦门航空公司	11:55	厦门高崎机场	15:20	.23.5.7	757
mf8418	厦门航空公司	19:35	厦门高崎机场	22:55	......7	737
mf8420	厦门航空公司	20:15	厦门高崎机场	23:25	...4.6.	757
ca4511	中国国际航空公司	13:25	青岛流亭机场	15:35	..3....	733
ca4602	中国国际航空公司	12:35	青岛流亭机场	15:45	1234567	737
sc4602	山东航空公司	12:35	青岛流亭机场	15:45	1234567	737
3u8811	四川航空公司	8:20	济南遥墙机场	10:25	.2.4.6.	320
ca4602	中国国际航空公司	12:35	济南遥墙机场	14:25	1234567	737
cz6242	中国南方航空公司	18:40	济南遥墙机场	20:40	.2...6.	jet
cz6242	中国南方航空公司	15:50	济南遥墙机场	17:50	..34..7	m90
cz6242	中国南方航空公司	15:50	济南遥墙机场	17:50	1...5..	m90
cz6410	中国南方航空公司	13:30	济南遥墙机场	15:20	..3.5.7	m90
cz6442	中国南方航空公司	14:10	济南遥墙机场	16:10	..3456.	m82
sc4602	山东航空公司	12:35	济南遥墙机场	14:25	1234567	737
ca1422	中国国际航空公司	12:40	天津滨海机场	16:45	...4.6.	733
ca1428	中国国际航空公司	11:05	天津滨海机场	13:20	..3...7	733
ca4181	中国国际航空公司	17:20	太原武宿机场	19:05	..3.5.7	736
ca4151	中国国际航空公司	16:35	乌鲁木齐地窝铺机场	19:55	123.567	jet
ca4151	中国国际航空公司	16:35	乌鲁木齐地窝铺机场	19:55	1234567	jet
cz6942	中国南方航空公司	13:30	乌鲁木齐地窝铺机场	17:00	...45..	752
cz6942	中国南方航空公司	13:30	乌鲁木齐地窝铺机场	17:00	123..67	jet
cz6946	中国南方航空公司	20:15	乌鲁木齐地窝铺机场	23:45	....5..	733
cz6946	中国南方航空公司	20:55	乌鲁木齐地窝铺机场	0:25	12.4.6.	jet
3u8931	四川航空公司	8:10	温州永强机场	10:20	1.3.5.7	320
ca1978	中国国际航空公司	11:40	温州永强机场	15:40	1234567	320
ca4581	中国国际航空公司	17:50	武汉天河机场	19:25	1234567	319
cz3442	中国南方航空公司	21:45	武汉天河机场	23:20	1234567	737
cz3448	中国南方航空公司	14:05	武汉天河机场	15:40	.2.4..7	738
mu2462	中国东方航空公司	18:35	武汉天河机场	20:20	1.3..6.	733
mu5260	中国东方航空公司	19:15	武汉天河机场	20:35	1234567	320
cz6412	中国南方航空公司	13:30	沈阳桃仙机场	17:30	...4.6.	m90
cz6412	中国南方航空公司	13:30	沈阳桃仙机场	17:30	12.....	m90
3u8815	四川航空公司	15:10	石家庄正定机场	17:10	.2...6.	erj
3u8815	四川航空公司	15:50	石家庄正定机场	17:50	...4...	erj
cz3866	中国南方航空公司	20:35	汕头外砂机场	23:45	.2.4.6.	733
