35路 公交车, 开班时间 06：30, 收班时间 21：30, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
城东客运站	51路　3路　112路　85路  
河心村	51路　19路　112路　114路　79路　85路  
竹林村	
郭家桥	19路  
望江公园	19路　82路  
九眼桥	34路　49路　56路　3路　31路　19路　27路　62路　65路　60路　77路　82路　72路  
七医院	
新南门	49路　28路　55路　6路　8路　301路　76路　82路  
滨江路	28路　301路　82路  
老南门	
百花新村	103路　109路　302路  
宝云庵	25路　103路　109路　302路  
青羊宫	34路　42路　58路　11路　17路　19路　27路　59路　109路　301路　63路　70路　78路　82路　84路  
送仙桥	17路　19路　301路　63路　78路　82路　84路  
草堂寺	17路　19路　78路　82路　84路  
金沙车站	47路　13路　17路　19路　96路　110路　111路　113路　303B路　62路　69路　77路　78路　81路　84路  
三圣祠	
