49路 公交车, 开班时间 06：30, 收班时间 21：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
火车南站	16路　99路　111路　112路　303路  
肿瘤医院	16路　99路  
桂溪公交站	55路　6路　92路　110路　111路　112路  
磨子村	55路　110路　76路　77路  
磨子桥	34路　55路　6路　19路　27路　110路　76路　72路  
新南门	35路　28路　55路　6路　8路　301路　76路　82路  
安顺桥	 
九眼桥	34路　35路　56路　3路　31路　19路　27路　62路　65路　60路　77路　82路　72路  
牛王庙	34路　38路　47路　56路　3路　27路　62路　65路　60路　72路  
牛市口	51路　38路　47路　20路　106路　91路　112路　65路　68路  
双桥子	51路　58路　4路　20路　106路　91路　114路　75路　65路　71路　81路  
塔子山公园	58路　2路　4路　71路　81路  
五桂桥	58路　2路　4路　33路　71路　81路  
