69路 公交车, 开班时间 06：30, 收班时间 20：00, 依次经过的站点如下： 返回上页 
 站名 同站换乘 
青龙场中心站	1路　7路区间　302路　63路　70路　71路　83路  
昭觉横街	63路  
洪家坡	108路　302路　83路  
驷马桥	36路　9路　108路　302路　60路　83路  
高笋塘	36路　1路　2路　9路　86路　108路　302路　65路　73路　60路　80路　83路　85路  
荷花池	36路　57路　2路　16路　27路　9路　99路　86路　303路　65路　73路　80路　83路　85路  
二环路北三段	57路　80路　83路  
火车北站	34路　36路　44路　28路　52路　54路　54路区间　55路　57路　11路　2路　16路　24路　27路　9路　99路　303路　64路　65路　80路　83路　85路  
五块石	44路　52路　59路　99路　87路　86路　301路　70路　73路  
九里堤	70路  
西南交大	52路　56路　48路　11路　3路　59路　94路　87路　89路  
营门口立交桥	52路　48路　11路　59路　94路　98路　113路　62路　83路  
石人北路	52路　48路　59路　83路  
石人坝	52路　79路  
新成温路口	52路　100路　303B路　64路　79路　82路　83路  
铁门坎	13路　17路　96路　110路　111路　113路　77路　78路　81路　84路  
金沙车站	35路　47路　13路　17路　19路　96路　110路　111路　113路　303B路　62路　77路　78路　81路　84路
