成都市常用电话提示服务
◇◆◇通用电话◇◆◇
匪　　警	110
火　　警	119
交通事故	122
医疗急救	120
报时服务	117
天气预报	121
声讯服务台	168
邮编查询	185
中国电信电话报障	112
中国电信号码查询	114
中国网通服务热线	10060
中国电信服务热线	10000
中国移动客服热线	1860
中国联通客服热线	10010
市长热线	12345
消费投诉	12315
价格投诉	12358
质量投诉	12365


◇◆◇银行服务◇◆◇
建设银行客户服务热线	95533 8008200588
工商银行客户服务热线	95588
招商银行客户服务热线	95555
招商银行信用卡服务	8008205555
农业银行客户服务热线	95599
中国银行客户服务热线	95566
◇◆◇成都市医疗服务◇◆◇
市一医院	028-86659298
市二医院	028-86621522
市三医院	028-86649831
市四医院	028-87543332
市五医院	028-82726077
市六医院	028-84332033
市七医院	028-85431001
市八医院	028-86919687
华西医大附一院	028-85553329 
空军医院	028-85399452 



◇◆◇公交客运◇◆◇
市内公交服务热线	028-85076868 
茶店子客运站	028-87506610
昭觉寺汽车站	028-83504125 
金沙车站	028-87350091
十陵客运站	028-86379301 
五桂桥成都汽车总站	028-84711692 
新南门车站	028-85433609 85442046
石羊客运站	028-85157719 
五块石车站	028-83118599
城北客运中心站	028-83179679 
北门汽车站	028-83331872


◇◆◇公安局办证中心◇◆◇
成都市：政府街38号	028-86407109 
锦江区：莲桂南路50号	028-86406158 
青羊区：江汉路5号	028-86647997 
金牛区：交大路178号	028-86406317 
成华区：府青路2段3号	028-86406458 
武侯区：高升桥东路8号	028-85081571 
高新区：肖家河沿街6号	028-85138005 
◇◆◇其他◇◆◇
成都市监察局驻人事局监察室	028-86647526
成都城市燃气有限责任公司	028-962777
旅游质量监督投诉电话	028-86622065 
锦江区供电局事故抢修	028-84441141 
青羊区供电局事故抢修	028-87768150 
金牛区供电事故抢修	028-83333058 
高新区供电事故抢修	028-85198890 
成都市民政局信访接待室	028-86690266 
成都市殡仪馆	028-85553032
