成都市始发火车时刻表
车次	终点站	途经站[到站时间-开车时间]
1434	合肥	成都[2150-2150] 广汉[2227-2231] 德阳[2251-2256] 绵阳[2343-2350] 江油[0026-0031] 昭化[0247-0249] 广元[0322-0333] 阳平关[0504-0509] 略阳[0659-0706] 凤州[1016-1018] 秦岭[1126-1134] 宝鸡[1249-1257] 蔡家坡[1331-1334] 咸阳[1452-1455] 西安[1513-1521] 渭南[1606-1608] 华山[1659-1703] 灵宝[1816-1818] 三门峡西[1846-1852] 渑池[1955-1957] 洛阳[2044-2047] 郑州[2221-2229] 开封[2315-2318] 兰考[2353-2355] 商丘[0058-0110] 毫州[0200-0204] 阜阳[0320-0333] 颍上[0412-0414] 淮南[0521-0525] 水家湖[0550-0554] 合肥[0705-0705]
T8	北京西	成都[1000-1000] 绵阳[1138-1142] 广元[1458-1506] 略阳[1732-1738] 秦岭[2025-2034] 宝鸡[2125-2134] 西安[2316-2324] 洛阳[0358-0404] 石家庄[0902-0905] 保定[1021-1023] 北京西[1150-1150]
T126	东莞东	成都[2135-2135] 遂宁[2342-2344] 南充[0035-0041] 营山[0127-0131] 达州[0252-0300] 万源[0515-0521] 安康[0709-0719] 十堰[0957-1001] 六里坪[1020-1031] 襄樊[1217-1225] 随州[1344-1348] 武昌[1537-1545] 庐山[1943-1949] 南昌[2102-2110] 吉安[2324-2326] 赣州[0122-0128] 龙川[0406-0416] 惠州[0602-0609] 东莞东[0653-0653]
N853	重庆	成都[0707-0707] 简阳[0841-0849] 资阳[0929-0934] 资中[1046-1054] 内江[1150-1210] 隆昌[1249-1251] 荣昌[1330-1335] 大足[1354-1357] 永川[1429-1435] 白沙[1609-1611] 江津[1653-1655] 重庆南[1753-1759] 重庆[1810-1810]
5611	西昌南	成都[2155-2155] 成都南[2217-2225] 眉山[2325-2327] 峨眉[0027-0039] 汉源[0250-0255] 甘洛[0345-0348] 越西[0439-0442] 普雄[0512-0521] 喜德[0701-0704] 漫水湾[0736-0740] 西昌[0811-0818] 西昌南[0828-0828]
8604	普济	成都[0746-0746] 天回镇[0755-0757] 新都[0807-0810] 清白江[0820-0823] 广汉[0837-0841] 新兴场[0852-0854] 德阳[0904-0908] 黄许镇[0917-0919] 罗江[0932-0936] 谭家坝[0945-0948] 皂角铺[1005-1007] 绵阳[1014-1036] 石马坝[1048-1055] 龙凤场[1105-1109] 彰明[1117-1119] 三合场[1126-1128] 江油[1135-1143] 老坪坝[1153-1155] 双河口[1204-1206] 小溪坝[1222-1225] 厚坝[1238-1240] 二郎庙[1252-1255] 马角坝[1303-1318] 斑竹园[1338-1355] 罗妙真[1411-1415] 竹园坝[1428-1449] 东坝[1458-1500] 上寺[1511-1526] 沙溪坝[1534-1537] 白田坝[1548-1550] 昭化[1559-1604] 走马岭[1613-1616] 广元南[1633-1655] 广元东[1704-1710] 安家湾[1728-1730] 元坝[1743-1747] 白水[1802-1804] 尚武[1818-1821] 嘉川[1833-1841] 旺苍[1852-1855] 黄洋[1911-1913] 普济[1928-1928]
K118	北京西	成都[2224-2224] 德阳[2318-2320] 绵阳[0007-0011] 江油[0051-0057] 广元[0346-0354] 略阳[0626-0634] 凤州[0942-0944] 秦岭[1050-1101] 宝鸡[1211-1223] 西安[1418-1424] 三门峡西[1727-1733] 三门峡[1755-1757] 洛阳[1923-1925] 巩义[2005-2007] 郑州[2103-2111] 新乡[2206-2208] 安阳[2334-2337] 邯郸[0018-0022] 邢台[0055-0057] 石家庄[0210-0215] 保定[0342-0345] 北京西[0522-0522]
5648	南充	成都[0750-0750] 金堂[0836-0838] 仓山镇[1000-1002] 大英[1019-1025] 遂宁[1048-1051] 南充[1144-1144]
5605	宜宾	成都[2250-2250] 简阳[0011-0015] 资阳[0057-0103] 资中[0207-0210] 内江[0300-0322] 自贡[0409-0415] 宜宾[0542-0542]
1037	宁波	成都[0806-0806] 简阳[0936-0939] 资阳[1021-1026] 资中[1130-1136] 内江[1220-1226] 隆昌[1305-1312] 永川[1511-1517] 朱杨溪[1558-1608] 江津[1711-1722] 赶水[2032-2045] 桐梓[2246-2254] 遵义[0043-0049] 贵阳[0445-0456] 福泉[0701-0712] 凯里[0826-0832] 镇远[0954-0958] 玉屏[1134-1144] 新晃[1212-1215] 怀化[1328-1340] 冷水江东[1652-1700] 娄底[1810-1816] 湘潭[1927-1929] 株洲[2002-2030] 醴陵[2116-2122] 萍乡[2205-2211] 新余[2350-2356] 丰城[0059-0110] 向塘[0205-0215] 鹰潭[0402-0410] 上饶[0551-0557] 玉山[0635-0639] 衢州[0804-0808] 金华西[0942-0952] 义乌[1044-1047] 诸暨[1143-1145] 杭州[1304-1314] 萧山[1340-1344] 绍兴[1409-1416] 上虞[1440-1443] 余姚[1506-1510] 宁波[1549-1549]
5628	万州	成都[2258-2258] 遂宁[0113-0116] 南充[0209-0217] 蓬安[0257-0300] 营山[0315-0324] 土溪[0401-0404] 达州[0522-0532] 开江[0627-0629] 梁平[0654-0657] 分水寺[0730-0737] 万州[0809-0809]
N862	广元	成都[0820-0820] 广汉[0856-0900] 德阳[0920-0925] 罗江[0946-0952] 绵阳[1021-1027] 江油[1103-1110] 马角坝[1208-1210] 竹园坝[1254-1257] 昭化[1336-1341] 广元[1410-1410]
1486	太原	成都[2325-2325] 德阳[0019-0024] 绵阳[0111-0119] 江油[0155-0200] 昭化[0417-0421] 广元[0506-0516] 阳平关[0647-0651] 略阳[0801-0814] 凤州[1126-1128] 秦岭[1234-1246] 宝鸡[1358-1407] 兴平[1537-1539] 咸阳[1559-1603] 西安[1620-1632] 临潼[1656-1658] 渭南[1723-1725] 华山[1841-1851] 风陵渡[1916-1918] 永济[1951-1955] 运城[2038-2044] 闻喜[2123-2136] 侯马[2211-2215] 临汾[2316-2327] 洪洞[2352-2355] 霍州[0042-0046] 灵石[0133-0137] 介休[0211-0218] 平遥[0245-0249] 祁县[0308-0312] 太谷[0337-0341] 榆次[0429-0433] 太原[0501-0501]
K139	南宁	成都[0852-0852] 简阳[1013-1015] 资阳[1057-1102] 内江[1237-1243] 隆昌[1322-1324] 永川[1447-1449] 朱杨溪[1530-1532] 重庆[1740-1749] 綦江[1925-1927] 桐梓[2208-2214] 遵义[2320-2324] 贵阳[0236-0247] 贵定[0413-0422] 都匀[0550-0558] 麻尾[0929-0940] 南丹[1059-1101] 金城江[1326-1343] 宜州[1442-1446] 柳州[1619-1628] 黎塘[1759-1806] 南宁[1937-1937]
2003	昆明	成都[0912-0912] 简阳[1042-1045] 资阳[1127-1136] 资中[1240-1244] 内江[1317-1327] 自贡[1414-1420] 宜宾[1543-1546] 水富[1623-1625] 盐津北[1735-1737] 盐津[1749-1755] 大关[1840-1842] 彝良[1940-1944] 昭通[2028-2045] 草海[2228-2231] 六盘水[0011-0030] 宣威[0326-0338] 沾益[0457-0500] 曲靖[0512-0518] 昆明[0749-0749]
